ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
34,0.0,26,yes,V5,23.0,V3,V3,V4,V4,3234,F,,V4,V3,V4,0.0,35839,1.0,V1,4394,2,V2,V2,1,V2,23,V2,3,V1,1.0,T,3234,
35,1.0,29,yes,V3,8.0,V2,V1,V2,V2,917,F,,V2,V3,V3,0.0,14700,1.0,V1,6163,1,V2,V1,1,V2,8,V2,4,V2,1.0,T,917,
36,1.0,26,yes,V1,36.0,V2,V1,V4,V4,10973,F,,V4,V3,V4,0.0,93720,1.0,V1,3086,2,V2,V2,2,V2,36,V2,4,V2,1.0,T,10973,
37,0.0,35,yes,V5,9.0,V3,V2,V4,V4,2753,F,,V4,V3,V3,0.0,24571,1.0,V2,6152,4,V2,V2,1,V2,9,V2,3,V3,1.0,T,2753,
38,0.0,21,yes,V2,18.0,V2,V1,V1,V2,1049,F,,V1,V3,V3,0.0,35830,1.0,V1,3619,4,V4,V1,1,V1,18,V4,4,V2,1.0,T,1049,
39,1.0,44,yes,V5,24.0,V1,V1,V2,V3,12579,F,,V2,V3,V4,0.0,26939,1.0,V1,4877,2,V2,V2,1,V3,24,V2,4,V2,1.0,T,12579,
40,1.0,26,yes,V2,36.0,V9,V5,V4,V4,7980,F,,V4,V3,V3,0.0,30715,1.0,V1,5647,4,V3,V2,2,V1,36,V3,4,V3,1.0,T,7980,
41,0.0,40,yes,V4,23.0,V2,V1,V4,V2,1585,F,,V4,V3,V3,0.0,75487,1.0,V1,4348,3,V4,V1,2,V2,23,V4,4,V3,1.0,T,1585,
42,0.0,35,yes,V3,12.0,V3,V1,V4,V2,1290,F,,V4,V3,V3,0.0,15657,1.0,V1,4766,2,V4,V1,2,V2,12,V4,4,V2,1.0,T,1290,
43,0.0,38,yes,V5,48.0,V1,V5,V4,V4,2751,F,,V4,V3,V3,0.0,25456,1.0,V1,5602,3,V4,V2,2,V2,48,V4,4,V3,2.0,T,2751,
44,0.0,45,no,V5,10.0,V7,V5,V4,V2,1286,F,,V4,V3,V2,0.0,41237,1.0,V2,4548,2,V2,V1,1,V2,10,V2,4,V3,1.0,T,1286,
45,0.0,27,yes,V3,5.0,V3,V2,V4,V2,1236,F,,V4,V3,V3,0.0,83479,1.0,V1,3964,1,V4,V1,2,V2,5,V4,1,V2,1.0,T,1236,
46,1.0,28,yes,V3,36.0,V6,V1,V1,V2,6886,F,,V1,V2,V3,0.0,20585,1.0,V1,6543,3,V3,V2,1,V2,36,V3,4,V3,1.0,T,6886,
47,0.0,22,yes,V2,5.0,V5,V1,V2,V2,454,F,,V2,V3,V2,0.0,44288,1.0,V1,6501,1,V2,V1,1,V2,5,V2,3,V4,1.0,T,454,
48,0.0,30,yes,V5,24.0,V2,V2,V2,V3,3069,F,,V2,V3,V3,0.0,58484,1.0,V1,4557,4,V2,V1,1,V3,24,V2,4,V3,1.0,T,3069,
49,0.0,47,no,V2,9.0,V7,V1,V1,V1,2241,F,,V1,V3,V2,0.0,30567,1.0,V1,5050,3,V4,V1,2,V1,9,V4,1,V3,2.0,T,2241,
50,0.0,60,yes,V5,23.0,V7,V1,V4,V3,2032,F,,V4,V3,V3,0.0,17024,1.0,V1,4633,4,V3,V2,2,V3,23,V3,4,V3,1.0,T,2032,
51,0.0,43,yes,V1,35.0,V10,V1,V1,V4,15857,F,,V1,V3,V4,0.0,20409,1.0,V2,4926,3,V2,V1,1,V2,35,V2,2,V1,1.0,T,15857,
52,1.0,28,yes,V3,23.0,V10,V1,V2,V4,11328,F,,V2,V1,V4,0.0,29533,1.0,V2,4593,3,V2,V2,2,V2,23,V2,2,V3,1.0,T,11328,
53,0.0,28,yes,V3,19.0,V10,V1,V2,V4,2628,F,,V2,V1,V3,0.0,12073,1.0,V1,3935,3,V3,V2,2,V2,19,V3,2,V3,1.0,T,2628,
54,0.0,21,yes,V3,15.0,V9,V1,V1,V2,805,F,,V1,V3,V2,0.0,17660,1.0,V1,4650,4,V2,V1,1,V2,15,V2,4,V2,1.0,T,805,
55,1.0,20,yes,V3,11.0,V2,V1,V1,V4,1281,F,,V1,V3,V3,0.0,50353,1.0,V1,5665,4,V2,V1,1,V1,11,V2,2,V2,1.0,T,1281,
56,0.0,30,no,V3,10.0,V7,V1,V4,V1,1545,F,,V4,V3,V2,0.0,37041,1.0,V1,4287,2,V2,V1,1,V2,10,V2,3,V3,2.0,T,1545,
57,0.0,36,yes,V3,23.0,V9,V5,V2,V2,4712,F,,V2,V1,V4,0.0,36005,1.0,V1,6377,2,V3,V2,2,V2,23,V3,4,V3,1.0,T,4712,
58,0.0,21,yes,V2,9.0,V2,V2,V4,V2,2300,F,,V4,V3,V3,0.0,23652,1.0,V1,4735,4,V2,V1,1,V1,9,V2,2,V2,1.0,T,2300,
59,1.0,26,yes,V3,10.0,V7,V5,V4,V2,1309,F,,V4,V3,V2,0.0,27483,1.0,V3,5601,4,V2,V1,1,V2,10,V2,4,V3,1.0,T,1309,
60,0.0,32,yes,V4,14.0,V1,V1,V4,V4,3028,F,,V4,V3,V3,0.0,11271,1.0,V1,5433,2,V2,V1,1,V2,14,V2,2,V3,1.0,T,3028,
61,0.0,48,no,V5,8.0,V5,V2,V1,V1,1288,F,,V1,V3,V3,0.0,51420,1.0,V3,6354,4,V4,V1,2,V2,8,V4,3,V3,2.0,T,1288,
62,0.0,36,yes,V3,11.0,V7,V1,V3,V4,2246,F,,V3,V2,V3,0.0,42994,1.0,V1,4611,2,V3,V2,2,V2,11,V3,2,V2,1.0,T,2246,
63,1.0,24,yes,V4,35.0,V9,V1,V1,V4,2144,F,,V1,V3,V3,0.0,36722,1.0,V1,3936,1,V3,V2,2,V2,35,V3,2,V3,1.0,T,2144,
64,0.0,29,yes,V3,8.0,V7,V1,V4,V1,1224,F,,V4,V3,V3,0.0,20508,1.0,V1,5129,1,V4,V1,2,V2,8,V4,3,V3,1.0,T,1224,
65,0.0,40,yes,V3,11.0,V7,V4,V2,V4,1321,F,,V2,V3,V3,0.0,32606,1.0,V1,5644,4,V4,V1,2,V2,11,V4,4,V2,1.0,T,1321,
66,1.0,36,yes,V3,12.0,V2,V1,V2,V2,1921,F,,V2,V3,V2,0.0,37363,1.0,V1,6296,2,V2,V1,1,V2,12,V2,4,V3,1.0,T,1921,
67,0.0,63,yes,V1,13.0,V3,V2,V4,V1,1408,F,,V4,V3,V3,0.0,27495,1.0,V1,4124,4,V2,V1,1,V2,13,V2,2,V2,1.0,T,1408,
68,0.0,22,yes,V1,14.0,V7,V1,V1,V4,2511,F,,V1,V3,V3,0.0,78144,1.0,V1,5681,4,V2,V1,1,V1,14,V2,1,V2,1.0,T,2511,
69,0.0,29,yes,V5,5.0,V3,V1,V4,V1,1740,F,,V4,V3,V3,0.0,54827,1.0,V1,5029,2,V4,V1,2,V1,5,V4,2,V4,1.0,T,1740,
70,1.0,21,yes,V2,9.0,V3,V1,V2,V4,1669,F,,V2,V3,V3,0.0,35407,1.0,V1,4030,2,V2,V2,1,V2,9,V2,4,V2,1.0,T,1669,
71,1.0,34,yes,V4,24.0,V6,V1,V2,V3,1837,F,,V2,V1,V2,0.0,12223,1.0,V1,5692,4,V1,V1,1,V3,24,V1,4,V2,1.0,T,1837,
72,0.0,37,yes,V2,24.0,V3,V1,V4,V4,1533,F,,V4,V2,V3,0.0,26329,1.0,V1,5365,3,V2,V2,1,V2,24,V2,4,V2,1.0,T,1533,
73,0.0,26,yes,V4,47.0,V1,V1,V1,V2,4788,F,,V1,V3,V3,0.0,10633,1.0,V1,5276,3,V2,V1,1,V2,47,V2,4,V3,2.0,T,4788,
74,0.0,33,yes,V2,24.0,V7,V2,V4,V1,1474,F,,V4,V3,V3,0.0,30375,1.0,V1,5306,3,V2,V2,1,V2,24,V2,4,V4,1.0,T,1474,
75,0.0,41,yes,V5,17.0,V2,V1,V2,V3,6360,F,,V2,V3,V3,0.0,43485,1.0,V1,4007,1,V4,V2,1,V2,17,V4,2,V3,1.0,T,6360,
76,1.0,21,yes,V1,17.0,V3,V1,V4,V1,433,F,,V4,V3,V3,0.0,66099,1.0,V2,4607,4,V2,V1,1,V1,17,V2,3,V2,1.0,T,433,
77,0.0,41,yes,V4,47.0,V3,V5,V2,V4,3978,F,,V2,V3,V3,0.0,23507,1.0,V1,4820,1,V2,V2,2,V2,47,V2,4,V3,2.0,T,3978,
78,0.0,25,yes,V3,21.0,V1,V5,V4,V4,5248,F,,V4,V3,V3,0.0,15145,1.0,V1,3790,3,V2,V1,1,V2,21,V2,1,V3,1.0,T,5248,
79,1.0,25,yes,V3,12.0,V3,V5,V2,V1,1484,F,,V2,V3,V3,0.0,29475,1.0,V1,5254,1,V2,V2,1,V2,12,V2,2,V4,1.0,T,1484,
80,0.0,50,yes,V5,9.0,V7,V3,V4,V3,2506,F,,V4,V3,V2,0.0,25754,1.0,V1,4336,4,V2,V1,1,V3,9,V2,2,V3,1.0,T,2506,
81,0.0,31,yes,V3,23.0,V7,V1,V4,V1,1393,F,,V4,V3,V3,0.0,7369,1.0,V3,5325,2,V2,V2,1,V2,23,V2,2,V3,1.0,T,1393,
82,0.0,36,yes,V3,42.0,V2,V3,V4,V1,4041,F,,V4,V3,V3,0.0,21522,1.0,V1,3406,4,V4,V2,2,V2,42,V4,4,V3,1.0,T,4041,
83,0.0,64,yes,V5,23.0,V3,V1,V1,V1,2383,F,,V1,V1,V2,0.0,47134,1.0,V1,7609,4,V2,V1,1,V1,23,V2,4,V3,1.0,T,2383,
84,0.0,23,yes,V4,24.0,V1,V2,V4,V4,3488,F,,V4,V3,V3,0.0,18843,1.0,V1,4553,4,V2,V1,1,V2,24,V2,3,V2,1.0,T,3488,
85,0.0,26,yes,V2,24.0,V3,V1,V4,V2,3180,F,,V4,V3,V3,0.0,32839,1.0,V1,5283,4,V2,V2,1,V2,24,V2,4,V2,1.0,T,3180,
86,0.0,41,yes,V3,6.0,V2,V1,V3,V1,2115,F,,V3,V3,V3,0.0,23417,1.0,V1,4264,2,V2,V2,1,V2,6,V2,2,V3,1.0,T,2115,
87,0.0,46,yes,V2,14.0,V1,V1,V4,V2,3593,F,,V4,V3,V2,0.0,6515,1.0,V1,4659,2,V3,V1,2,V2,14,V3,1,V2,1.0,T,3593,
88,0.0,29,yes,V5,36.0,V7,V2,V2,V3,2861,F,,V2,V3,V3,0.0,96344,1.0,V1,6482,3,V3,V1,1,V3,36,V3,4,V3,1.0,T,2861,
89,0.0,35,yes,V3,36.0,V1,V1,V2,V4,6948,F,,V2,V3,V4,0.0,66069,1.0,V1,4045,2,V2,V2,1,V1,36,V2,2,V3,1.0,T,6948,
90,0.0,51,yes,V4,12.0,V7,V2,V4,V4,681,F,,V4,V3,V3,0.0,16274,1.0,V1,3992,3,V4,V2,2,V2,12,V4,4,V2,1.0,T,681,
91,0.0,22,yes,V3,23.0,V2,V3,V1,V1,2828,F,,V1,V2,V3,0.0,74933,1.0,V1,6647,4,V1,V2,1,V2,23,V1,4,V3,1.0,T,2828,
92,1.0,32,yes,V2,5.0,V2,V1,V4,V2,4611,F,,V4,V3,V3,0.0,8073,1.0,V1,4324,4,V2,V1,1,V2,5,V2,1,V2,1.0,T,4611,
93,0.0,28,yes,V4,42.0,V3,V5,V4,V2,7165,F,,V4,V3,V3,0.0,80575,1.0,V1,5216,4,V2,V2,1,V1,42,V2,2,V4,1.0,T,7165,
94,0.0,32,yes,V2,12.0,V2,V1,V3,V2,1473,F,,V3,V1,V4,0.0,27384,1.0,V1,4729,1,V2,V2,1,V2,12,V2,4,V2,1.0,T,1473,
95,0.0,40,yes,V1,47.0,V10,V5,V2,V3,5381,F,,V2,V1,V1,0.0,53428,1.0,V1,5026,4,V2,V2,1,V3,47,V2,3,V3,1.0,T,5381,
96,0.0,38,yes,V4,19.0,V2,V5,V1,V4,2211,F,,V1,V3,V3,0.0,29696,1.0,V1,4323,4,V2,V2,1,V2,19,V2,4,V3,1.0,T,2211,
97,1.0,28,yes,V2,17.0,V7,V2,V2,V4,2278,F,,V2,V3,V3,0.0,41123,1.0,V1,4721,3,V5,V1,2,V2,17,V5,3,V2,1.0,T,2278,
98,0.0,41,yes,V2,5.0,V7,V1,V1,V1,661,F,,V1,V3,V2,0.0,89878,1.0,V1,4398,4,V2,V2,1,V2,5,V2,3,V3,2.0,T,661,
99,0.0,39,yes,V5,6.0,V3,V1,V4,V4,425,F,,V4,V3,V2,0.0,10372,1.0,V1,4977,4,V5,V1,1,V2,6,V5,4,V4,1.0,T,425,
100,0.0,28,yes,V5,35.0,V3,V1,V4,V4,3594,F,,V4,V3,V3,0.0,81417,1.0,V1,5358,2,V2,V1,1,V2,35,V2,4,V3,1.0,T,3594,
101,0.0,46,yes,V5,15.0,V3,V3,V4,V2,1213,F,,V4,V2,V3,0.0,10406,1.0,V1,5319,3,V2,V2,1,V2,15,V2,4,V3,1.0,T,1213,
102,0.0,22,yes,V3,11.0,V3,V1,V1,V4,1497,F,,V1,V1,V3,0.0,9534,1.0,V1,5031,1,V2,V1,1,V2,11,V2,4,V2,1.0,T,1497,
103,0.0,43,yes,V3,12.0,V7,V1,V1,V1,1343,F,,V1,V3,V2,0.0,17343,1.0,V1,6079,2,V3,V1,2,V2,12,V3,4,V3,2.0,T,1343,
104,1.0,53,yes,V3,47.0,V4,V1,V1,V4,3050,F,,V1,V3,V3,0.0,63706,1.0,V1,5212,4,V2,V1,1,V2,47,V2,3,V3,1.0,T,3050,
105,0.0,43,yes,V2,6.0,V7,V5,V1,V1,4716,F,,V1,V3,V2,0.0,26694,1.0,V1,4419,3,V4,V1,2,V2,6,V4,1,V3,2.0,T,4716,
106,0.0,25,yes,V2,23.0,V3,V5,V4,V4,3104,F,,V4,V3,V3,0.0,37871,1.0,V1,3708,2,V2,V1,2,V2,23,V2,4,V3,1.0,T,3104,
107,0.0,24,yes,V2,18.0,V3,V3,V2,V1,3213,F,,V2,V3,V3,0.0,25618,1.0,V1,4397,3,V2,V1,1,V1,18,V2,1,V4,1.0,T,3213,
108,1.0,24,yes,V4,12.0,V7,V1,V2,V4,684,F,,V2,V1,V2,0.0,15099,1.0,V1,5265,3,V2,V1,1,V2,12,V2,2,V4,1.0,T,684,
109,0.0,32,yes,V5,18.0,V3,V1,V2,V1,1300,F,,V2,V3,V2,0.0,24057,1.0,V3,4466,2,V2,V1,1,V2,18,V2,4,V4,1.0,T,1300,
110,1.0,48,yes,V4,30.0,V2,V1,V2,V2,8385,F,,V2,V3,V3,0.0,9124,1.0,V1,5951,2,V4,V1,1,V2,30,V4,2,V3,1.0,T,8385,
111,1.0,23,yes,V2,23.0,V7,V1,V1,V2,1206,F,,V1,V3,V3,0.0,87910,1.0,V1,5633,4,V2,V1,1,V1,23,V2,4,V2,1.0,T,1206,
112,1.0,31,yes,V3,35.0,V3,V1,V1,V4,2301,F,,V1,V3,V3,0.0,127113,1.0,V1,3351,4,V2,V1,1,V1,35,V2,4,V1,1.0,T,2301,
113,0.0,48,yes,V3,48.0,V9,V5,V2,V4,12204,F,,V2,V1,V4,0.0,18137,1.0,V1,7453,2,V5,V2,1,V2,48,V5,2,V3,1.0,T,12204,
114,0.0,50,yes,V3,6.0,V6,V1,V3,V2,1047,F,,V3,V3,V2,0.0,6507,1.0,V1,4654,4,V4,V1,1,V2,6,V4,2,V2,1.0,T,1047,
115,1.0,58,yes,V5,47.0,V9,V1,V2,V3,6415,F,,V2,V3,V3,0.0,57145,1.0,V1,3830,3,V1,V1,1,V1,47,V1,4,V2,1.0,T,6415,
116,0.0,22,yes,V5,17.0,V7,V1,V3,V4,1961,F,,V3,V3,V4,0.0,49482,1.0,V1,6458,2,V2,V1,1,V2,17,V2,3,V2,1.0,T,1961,
117,0.0,22,yes,V4,12.0,V5,V5,V4,V1,996,F,,V4,V3,V3,0.0,47177,1.0,V1,6260,4,V4,V1,2,V2,12,V4,4,V2,1.0,T,996,5.0
118,0.0,33,yes,V5,23.0,V3,V4,V4,V4,2578,F,,V4,V3,V3,0.0,58320,1.0,V1,5699,2,V4,V1,1,V2,23,V4,2,V3,1.0,T,2578,
119,0.0,37,yes,V5,17.0,V2,V1,V2,V2,3611,F,,V2,V3,V3,0.0,23940,1.0,V1,5822,4,V4,V2,1,V2,17,V4,3,V2,1.0,T,3611,
120,0.0,27,yes,V4,17.0,V1,V1,V4,V4,3850,F,,V4,V3,V3,0.0,16380,1.0,V1,3688,1,V4,V1,2,V2,17,V4,3,V3,1.0,T,3850,
121,0.0,35,yes,V5,21.0,V1,V1,V4,V4,3275,F,,V4,V3,V4,0.0,53931,1.0,V1,4849,4,V4,V2,1,V2,21,V4,1,V3,1.0,T,3275,
122,0.0,61,yes,V5,11.0,V7,V1,V4,V1,1254,F,,V4,V3,V2,0.0,50729,1.0,V1,3638,4,V4,V1,2,V2,11,V4,4,V3,1.0,T,1254,
123,0.0,62,yes,V5,60.0,V7,V5,V4,V3,13756,F,,V4,V1,V4,0.0,29056,1.0,V1,3004,4,V4,V2,1,V3,60,V4,2,V3,1.0,T,13756,
124,0.0,47,yes,V3,24.0,V2,V5,V2,V2,4351,F,,V2,V3,V2,0.0,49608,1.0,V1,3830,4,V2,V2,1,V2,24,V2,1,V2,1.0,T,4351,
125,0.0,37,yes,V3,36.0,V2,V1,V1,V2,3620,F,,V1,V3,V3,0.0,25999,1.0,V3,3928,2,V2,V1,1,V2,36,V2,1,V3,2.0,T,3620,
126,0.0,48,yes,V4,9.0,V7,V1,V1,V2,1037,F,,V1,V3,V3,0.0,39094,1.0,V2,5047,3,V4,V2,2,V2,9,V4,4,V3,1.0,T,1037,
127,0.0,22,no,V3,23.0,V1,V1,V1,V4,3632,F,,V1,V1,V3,0.0,12092,1.0,V3,5713,4,V1,V1,1,V1,23,V1,1,V2,1.0,T,3632,
128,0.0,19,yes,V4,14.0,V7,V4,V4,V4,3185,F,,V4,V3,V3,0.0,74013,1.0,V1,4922,3,V2,V1,1,V1,14,V2,2,V2,1.0,T,3185,
129,0.0,31,yes,V4,18.0,V3,V1,V1,V2,1879,F,,V1,V3,V4,0.0,37051,1.0,V1,4527,1,V4,V2,2,V2,18,V4,4,V4,1.0,T,1879,
130,1.0,36,yes,V5,60.0,V9,V1,V1,V3,7297,F,,V1,V3,V3,0.0,64857,1.0,V2,7018,4,V2,V1,1,V1,60,V2,4,V3,1.0,T,7297,
131,0.0,23,yes,V2,14.0,V3,V5,V2,V2,1443,F,,V2,V3,V3,0.0,55914,1.0,V1,6749,1,V2,V1,1,V2,14,V2,4,V3,1.0,T,1443,
132,1.0,55,yes,V2,24.0,V2,V1,V1,V2,6871,F,,V1,V1,V3,0.0,28197,1.0,V1,6399,1,V1,V2,1,V2,24,V1,2,V1,1.0,T,6871,
133,1.0,57,yes,V5,36.0,V7,V1,V2,V3,14317,F,,V2,V3,V4,0.0,38640,1.0,V1,6742,2,V2,V2,1,V3,36,V2,4,V3,1.0,T,14317,
134,1.0,53,yes,V3,24.0,V9,V4,V4,V2,4591,F,,V4,V3,V4,0.0,4001,1.0,V1,4742,3,V2,V2,3,V2,24,V2,2,V3,1.0,T,4591,
135,0.0,45,yes,V4,6.0,V7,V1,V4,V3,6760,F,,V4,V3,V4,0.0,14618,1.0,V1,4953,3,V4,V2,2,V2,6,V4,1,V3,2.0,T,6760,
136,1.0,27,yes,V2,17.0,V2,V5,V2,V1,1924,F,,V2,V3,V3,0.0,74413,1.0,V1,5374,3,V2,V1,1,V1,17,V2,4,V2,1.0,T,1924,
137,1.0,23,yes,V3,29.0,V7,V1,V2,V3,2150,F,,V2,V1,V3,0.0,16534,1.0,V3,4537,2,V2,V1,1,V2,29,V2,4,V2,1.0,T,2150,
138,0.0,36,yes,V5,35.0,V9,V5,V4,V1,6303,F,,V4,V3,V3,0.0,85191,1.0,V1,4341,4,V4,V1,2,V2,35,V4,4,V3,1.0,T,6303,
139,1.0,24,yes,V5,11.0,V2,V5,V2,V2,2762,F,,V2,V1,V3,0.0,40466,1.0,V1,4414,2,V2,V2,1,V2,11,V2,1,V2,1.0,T,2762,
140,0.0,35,yes,V5,12.0,V3,V5,V4,V4,976,F,,V4,V3,V3,0.0,47150,1.0,V1,4602,4,V4,V1,2,V2,12,V4,4,V3,1.0,T,976,
141,0.0,36,yes,V3,12.0,V3,V5,V4,V3,2279,F,,V4,V3,V3,0.0,37760,1.0,V1,2919,4,V2,V2,1,V3,12,V2,4,V3,1.0,T,2279,
142,1.0,25,yes,V1,18.0,V2,V1,V1,V4,2472,F,,V1,V3,V1,0.0,14850,1.0,V1,4919,1,V2,V1,1,V2,18,V2,4,V3,1.0,T,2472,
143,0.0,30,yes,V2,18.0,V7,V1,V4,V2,1055,F,,V4,V3,V3,0.0,97210,1.0,V1,4233,1,V4,V1,2,V2,18,V4,4,V2,1.0,T,1055,
144,0.0,26,yes,V3,11.0,V9,V1,V4,V1,1185,F,,V4,V3,V3,0.0,23138,1.0,V1,7296,2,V4,V1,2,V2,11,V4,3,V2,1.0,T,1185,
145,0.0,32,yes,V2,27.0,V2,V4,V4,V1,4525,F,,V4,V2,V2,0.0,16390,1.0,V1,5582,2,V4,V2,2,V2,27,V4,4,V3,2.0,T,4525,
